"year","month","total","field"
2020,"June",16774,"MATH"
2020,"June",69669,"MEDI"
2020,"June",5987,"NEUR"
2020,"June",4846,"NURS"
2020,"June",8316,"PHAR"
2020,"June",30107,"PHYS"
2020,"June",5273,"PSYC"
2020,"June",22723,"SOCI"
2020,"June",1863,"VETE"
2020,"June",3884,"MULT"
2020,"July",16374,"AGRI"
2020,"July",7806,"ARTS"
2020,"July",26449,"BIOC"
2020,"July",4502,"BUSI"
2020,"July",12573,"CENG"
2020,"July",20248,"CHEM"
2020,"July",30166,"COMP"
2020,"July",5282,"DECI"
2020,"July",1414,"DENT"
2020,"July",11103,"EART"
2020,"July",3524,"ECON"
2020,"July",10598,"ENER"
2020,"July",40990,"ENGI"
2020,"July",17328,"ENVI"
2020,"July",3219,"HEAL"
2020,"July",7187,"IMMU"
2020,"July",24436,"MATE"
2020,"July",14409,"MATH"
2020,"July",67746,"MEDI"
2020,"July",6371,"NEUR"
2020,"July",4724,"NURS"
2020,"July",8210,"PHAR"
2020,"July",28550,"PHYS"
2020,"July",5413,"PSYC"
2020,"July",20371,"SOCI"
2020,"July",2134,"VETE"
2020,"July",3755,"MULT"
2020,"August",15753,"AGRI"
2020,"August",5278,"ARTS"
2020,"August",25911,"BIOC"
2020,"August",4304,"BUSI"
2020,"August",12672,"CENG"
2020,"August",20260,"CHEM"
2020,"August",21497,"COMP"
2020,"August",4249,"DECI"
2020,"August",1158,"DENT"
2020,"August",10470,"EART"
2020,"August",2767,"ECON"
2020,"August",9846,"ENER"
2020,"August",38765,"ENGI"
2020,"August",16778,"ENVI"
2020,"August",2754,"HEAL"
2020,"August",6868,"IMMU"
2020,"August",23955,"MATE"
2020,"August",12855,"MATH"
2020,"August",61066,"MEDI"
2020,"August",5969,"NEUR"
2020,"August",4127,"NURS"
2020,"August",6982,"PHAR"
2020,"August",26544,"PHYS"
2020,"August",4893,"PSYC"
2020,"August",16044,"SOCI"
2020,"August",1602,"VETE"
2020,"August",3610,"MULT"
2020,"September",19104,"AGRI"
2020,"September",8894,"ARTS"
2020,"September",30161,"BIOC"
2020,"September",6481,"BUSI"
2020,"September",14881,"CENG"
