"field","year","n","total","prop"
"VETE",2010,4,23189,0.000172495579800768
"VETE",2011,4,24883,0.000160752320861632
"VETE",2012,3,26480,0.000113293051359517
"VETE",2013,1,26022,3.84290215971101e-05
"VETE",2014,2,24491,8.1662651586297e-05
"VETE",2015,3,23243,0.000129071118186121
"VETE",2016,3,22529,0.000133161702694305
"VETE",2017,6,24098,0.000248983318117686
"VETE",2018,2,25235,7.92550029720626e-05
"VETE",2019,3,25788,0.000116333178222429
"VETE",2020,6,28917,0.000207490403568835
"VETE",2021,3,31705,9.46222993218735e-05
"MULT",1960,0,5384,0
"MULT",1961,0,5424,0
"MULT",1962,0,5775,0
"MULT",1963,0,6546,0
"MULT",1964,0,7226,0
"MULT",1965,0,7053,0
"MULT",1966,0,7206,0
"MULT",1967,0,7101,0
"MULT",1968,0,6928,0
"MULT",1969,0,7024,0
"MULT",1970,0,7608,0
"MULT",1971,2,5857,0.000341471743213249
"MULT",1972,0,5509,0
"MULT",1973,0,5883,0
"MULT",1974,1,6450,0.000155038759689922
"MULT",1975,3,6160,0.000487012987012987
"MULT",1976,0,5923,0
"MULT",1977,0,6221,0
"MULT",1978,0,6649,0
"MULT",1979,0,6656,0
"MULT",1980,0,6586,0
"MULT",1981,0,7086,0
"MULT",1982,0,7110,0
"MULT",1983,1,7486,0.000133582687683676
"MULT",1984,2,7432,0.000269106566200215
"MULT",1985,2,7192,0.000278086763070078
"MULT",1986,1,7877,0.000126951885235496
"MULT",1987,0,7820,0
"MULT",1988,2,8417,0.000237614351906855
"MULT",1989,2,7693,0.000259976602105811
"MULT",1990,1,7982,0.000125281884239539
"MULT",1991,0,7900,0
"MULT",1992,1,8846,0.000113045444268596
"MULT",1993,1,9130,0.000109529025191676
"MULT",1994,1,9307,0.000107446008380789
"MULT",1995,2,9174,0.000218007412252017
"MULT",1996,0,13410,0
"MULT",1997,0,14502,0
"MULT",1998,2,14318,0.000139684313451599
"MULT",1999,2,14581,0.000137164803511419
"MULT",2000,1,13036,7.67106474378644e-05
"MULT",2001,3,16192,0.000185276679841897
"MULT",2002,7,14781,0.000473580948514985
"MULT",2003,6,15062,0.000398353472314434
"MULT",2004,5,16732,0.000298828591919675
"MULT",2005,7,19349,0.000361775802367047
"MULT",2006,1,19453,5.14059528093353e-05
"MULT",2007,3,21175,0.000141676505312869
"MULT",2008,2,23450,8.52878464818763e-05
"MULT",2009,4,26441,0.000151280208766688
"MULT",2010,15,29474,0.000508923118680871
"MULT",2011,16,38318,0.000417558327678898
"MULT",2012,29,48767,0.000594664424713433
"MULT",2013,45,61080,0.000736738703339882
"MULT",2014,41,59528,0.000688751511893563
"MULT",2015,60,65739,0.000912700223611555
"MULT",2016,42,72912,0.000576036866359447
"MULT",2017,41,72527,0.00056530671336192
"MULT",2018,60,64975,0.000923432089265102
"MULT",2019,58,66503,0.000872141106416252
"MULT",2020,74,71691,0.00103220766902401
"MULT",2021,56,74848,0.000748182984181274
